תאריך עדכון,קוד יישוב,שם יישוב,קוד רובע,שם רובע,חולים פעילים,"חולים חדשים ל-10,000 נפש",שיעור בדיקות חיוביות,יחס הכפלה,צבע לפי חישוב יומי,צבע לפי החלטת ממשלה,government_color_next_week,x,y
19/08/2021,3000,ירושלים,30007715,"ואדי ג'וז, שייח ג'ראח ובאב א-זהרה",15>,2.920134326,1.3,0,ירוק,,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3000,ירושלים,30007715,"ואדי ג'וז, שייח ג'ראח ובאב א-זהרה",15>,2.920134326,1.3,0,ירוק,,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3000,ירושלים,30007716,חומת שמואל,167,48.84148009,6.2,20.2,כתום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3000,ירושלים,30007716,חומת שמואל,167,48.84148009,6.2,20.2,כתום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3000,ירושלים,30007717,כפר עקב,15>,1.087104226,1.2,0,ירוק,,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3000,ירושלים,30007717,כפר עקב,15>,1.087104226,1.2,0,ירוק,,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3000,ירושלים,30007718,"לב העיר, קרית הלאום, מוסררה והרובע היהודי",108,27.25197024,3.7,27.6,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007718,"לב העיר, קרית הלאום, מוסררה והרובע היהודי",108,27.25197024,3.7,27.6,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007718,"לב העיר, קרית הלאום, מוסררה והרובע היהודי",108,27.25197024,3.7,27.6,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007718,"לב העיר, קרית הלאום, מוסררה והרובע היהודי",108,27.25197024,3.7,27.6,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007720,מ.פ שועפאט וענתא,23,3.77489982,5.4,30,ירוק,,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3000,ירושלים,30007721,נווה יעקב,50,12.74859765,5.9,29.6,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007722,סילואן/ עיר דוד ואבו תור,15>,2.467764822,2.5,0,ירוק,,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3000,ירושלים,30007723,"סנהדריה, מעלות דפנה, רמת אשכול, שמואל הנביא ובית ישראל",55,14.99390872,5.3,166.7,צהוב,,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,3000,ירושלים,30007724,עיסיוויה,15>,0,0,0,ירוק,,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3000,ירושלים,30007725,פסגת זאב,234,40.19986373,6.3,71.8,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007726,צור באחר - ג'בל מוכבר,35,5.501782985,4.1,170,ירוק,,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3000,ירושלים,30007727,"קרית היובל, רמת שרת, רמת דניה, הולילנד, מלחה",223,36.67423812,4.6,20.2,אדום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3000,ירושלים,30007728,קרית מנחם וגבעת משואה,87,37.40721258,4.4,64.1,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007729,ראס אל עמוד,15>,1.001652727,0.8,0,ירוק,,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3000,ירושלים,30007730,רוממה,98,17.60008406,4.1,97.1,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007731,רמות,152,21.47126526,5.7,88.1,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3000,ירושלים,30007732,רמת שלמה,76,39.44414103,11.5,150,אדום,,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3000,ירושלים,30007733,שועפאט,16,4.966887417,2.9,20,ירוק,,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3000,ירושלים,30007734,תלפיות מזרח,77,26.42506606,3.7,25.6,כתום,,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,502,ירכא,-999,לא רלוונטי,15>,5.760368664,2.5,0,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,504,כאבול,-999,לא רלוונטי,19,9.83560489,2.8,40,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,505,כאוכב אבו אל-היג'א,-999,לא רלוונטי,15>,16.40689089,4.4,0,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,3564,כוכב השחר,-999,לא רלוונטי,15>,8.561643836,0.9,0,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,1224,כוכב יאיר,-999,לא רלוונטי,47,44.63263905,2.9,105.3,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,3779,כוכב יעקב,-999,לא רלוונטי,36,37.02872531,7.9,230,כתום,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,1059,כסיפה,-999,לא רלוונטי,15>,3.568560978,3,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,1296,כסרא-סמיע,-999,לא רלוונטי,28,16.70750724,5.1,-34.8,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,1296,כסרא-סמיע,-999,לא רלוונטי,28,16.70750724,5.1,-34.8,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,978,כעביה-טבאש-חג'אג'רה,-999,לא רלוונטי,15>,14.26279194,7.3,0,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,978,כעביה-טבאש-חג'אג'רה,-999,לא רלוונטי,15>,14.26279194,7.3,0,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,978,כעביה-טבאש-חג'אג'רה,-999,לא רלוונטי,15>,14.26279194,7.3,0,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,3638,כפר אדומים,-999,לא רלוונטי,19,27.48995559,2.5,-23.5,צהוב,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,633,כפר ברא,-999,לא רלוונטי,15>,15.94048884,3.4,-23.1,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,3796,כפר האורנים,-999,לא רלוונטי,15>,30.38359286,2.4,-60,צהוב,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,1263,כפר ורדים,-999,לא רלוונטי,26,36.39672429,2.8,-20,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,696,"כפר חב""ד",-999,לא רלוונטי,254,265.7757981,13.3,-19.7,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,507,כפר יאסיף,-999,לא רלוונטי,45,34.14967314,7.3,218.2,אדום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,168,כפר יונה,-999,לא רלוונטי,253,69.62509564,6.3,14.5,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,508,כפר כמא,-999,לא רלוונטי,15>,26.50176678,5.5,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,509,כפר כנא,-999,לא רלוונטי,43,11.61240377,2.6,-12.9,צהוב,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,510,כפר מנדא,-999,לא רלוונטי,15>,1.455604076,0.7,-33.3,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,512,כפר מצר,-999,לא רלוונטי,15>,3.599712023,0.7,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,6900,כפר סבא,-999,לא רלוונטי,591,41.01746931,3.4,24.1,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,634,כפר קאסם,-999,לא רלוונטי,58,15.26654563,3.5,-7.5,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,654,כפר קרע,-999,לא רלוונטי,90,31.55716503,7,5.2,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,47,כפר תבור,-999,לא רלוונטי,40,59.07748239,4.6,-18.8,כתום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,1139,כרמיאל,-999,לא רלוונטי,228,37.23749729,5.1,31.3,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,1271,להבים,-999,לא רלוונטי,44,55.71450083,3.6,236.4,אדום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,7000,לוד,-999,לא רלוונטי,771,73.52759141,9.5,66.9,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,1310,לפיד,-999,לא רלוונטי,15>,38.37953092,3.8,-44.4,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,1060,לקיה,-999,לא רלוונטי,15>,3.420908593,1.4,0,ירוק,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,3709,מבוא חורון,-999,לא רלוונטי,31,114.0544518,9.1,121.4,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,1015,מבשרת ציון,-999,לא רלוונטי,142,45.18010432,4.4,44.7,כתום,כתום,ציון 6.1 עד 7.5 - צבע כתום,,
19/08/2021,516,מג'ד אל-כרום,-999,לא רלוונטי,21,13.46240144,5,110,צהוב,ירוק,ציון 1 עד 4.5 - צבע ירוק,,
19/08/2021,4201,מג'דל שמס,-999,לא רלוונטי,15>,12.45108502,8.4,40,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,4201,מג'דל שמס,-999,לא רלוונטי,15>,12.45108502,8.4,40,צהוב,צהוב,ציון 4.6 עד 6 - צבע צהוב,,
19/08/2021,481,מגאר,-999,לא רלוונטי,140,44.2610975,9.8,47.1,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,874,מגדל העמק,-999,לא רלוונטי,347,100.0387747,8.9,47.4,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3797,מודיעין עילית,-999,לא רלוונטי,253,27.16597905,12.5,132.6,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,3797,מודיעין עילית,-999,לא רלוונטי,253,27.16597905,12.5,132.6,אדום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,1200,מודיעין-מכבים-רעות,-999,לא רלוונטי,555,43.16896057,3.3,30.3,כתום,אדום,ציון מעל 7.5 - צבע אדום,,
19/08/2021,1200,מודיעין-מכבים-רעות,-999,לא רלוונטי,555,43.16896057,3.3,30.3,כתום,אדום,ציון מעל 7.5 - צבע אדום,,
